City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Kapaa,US,81.0,overcast clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
5,Batticaloa,LK,77.63,clear sky,7.71,81.69,Grand Star Guest House
11,Vaini,TO,77.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
12,Airai,TL,75.85,clear sky,-8.93,125.41,Juvinal Martin
16,Nanakuli,US,82.4,clear sky,21.39,-158.15,Camp Pālehua
26,Hirara,JP,75.2,broken clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
27,Atuona,PF,78.62,clear sky,-9.8,-139.03,Villa Enata
28,Cockburn Town,TC,83.05,overcast clouds,21.46,-71.14,Osprey Beach Hotel
29,Bintulu,MY,77.0,few clouds,3.17,113.03,900 Boutique INN
31,Tautira,PF,84.2,broken clouds,-17.73,-149.15,Pension Oaoa
36,Makakilo City,US,82.4,light rain,21.35,-158.09,Marriott's Ko Olina Beach Club
38,Amuntai,ID,87.17,clear sky,-2.42,115.25,Hotel Balqis
39,Barras,BR,78.01,broken clouds,-4.24,-42.29,DIMAS HOTEL
46,Hobyo,SO,81.07,overcast clouds,5.35,48.53,Osmani Hotel
53,Geraldton,AU,77.0,clear sky,-28.77,114.6,Broadwater Mariner Resort
75,Polewali,ID,85.69,broken clouds,-3.43,119.34,Lilianto Hotel
82,Keti Bandar,PK,79.05,clear sky,24.14,67.45,Haji laloo memon house
90,Sorong,ID,83.41,clear sky,-0.88,131.25,The Waigo Hotel
91,Coahuayana,MX,78.8,broken clouds,18.73,-103.68,Hotel Los Arcos
93,Kawalu,ID,79.74,scattered clouds,-7.38,108.21,KOSAN UNGU UNSIK
94,San Ignacio,BZ,82.4,clear sky,17.16,-89.07,Rainforest Haven Inn
101,Bonthe,SL,78.55,light rain,7.53,-12.51,Bonthe Holiday Village
102,Poum,NC,78.51,clear sky,-20.23,164.02,Gîte kajeon
105,Port Hedland,AU,84.2,clear sky,-20.32,118.57,The Esplanade Hotel
106,Lazaro Cardenas,MX,81.14,overcast clouds,17.96,-102.2,Collection O Hotel Quinta Antigua
110,Cabo San Lucas,MX,87.8,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
112,Faanui,PF,79.12,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
114,Butaritari,KI,81.77,clear sky,3.07,172.79,Isles Sunset Lodge
115,Blythe,US,87.8,clear sky,33.61,-114.6,Rodeway Inn & Suites
116,Wagar,SD,81.77,clear sky,16.15,36.2,
119,Mabaruma,GY,77.68,overcast clouds,8.2,-59.78,
122,Simpang,ID,79.43,overcast clouds,-1.27,104.08,Sk 7 rt 1 dusun 3 rantau makmur berbak
123,Sao Jose Da Coroa Grande,BR,76.69,clear sky,-8.9,-35.15,Crôa Mares Hotel
124,Sahuaripa,MX,79.18,clear sky,29.05,-109.23,Estatua de Sahuaripa
130,Samarai,PG,83.21,broken clouds,-10.62,150.67,Nuli Sapi
131,Nalus,PH,82.4,broken clouds,6.01,124.59,Alquiza's Bahay Bakasyunan Tourist Inn (Hotel)
133,Salinopolis,BR,79.45,clear sky,-0.61,-47.36,Hotel Salinópolis
139,Omboue,GA,75.79,overcast clouds,-1.57,9.26,Hotel Olako
141,Teluknaga,ID,89.01,few clouds,-6.1,106.64,Bale Ocasa hotel
144,Carupano,VE,79.66,clear sky,10.67,-63.26,Hotel La dorada
145,Cabinda,AO,76.41,light rain,-5.55,12.2,"Hotel Executivo , 3 estrelas"
155,Poya,NC,83.88,clear sky,-21.35,165.15,
156,Hithadhoo,MV,82.42,few clouds,-0.6,73.08,Scoop Guest House
171,Karratha,AU,78.94,clear sky,-20.74,116.85,ibis Styles Karratha
173,Avarua,CK,78.8,overcast clouds,-21.21,-159.78,Paradise Inn
176,Gorontalo,ID,87.15,overcast clouds,0.54,123.06,Maqna Hotel by Prasanthi
