City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tuatapere,NZ,-46.13,167.68,72.0,49,100,14.0,overcast clouds
1,Arraial Do Cabo,BR,-22.97,-42.03,73.4,78,40,13.87,scattered clouds
2,Matane,CA,48.83,-67.52,43.0,1,100,9.13,overcast clouds
3,Kapaa,US,22.08,-159.32,81.0,78,90,12.75,overcast clouds
4,Broome,US,42.25,-75.83,64.99,77,1,10.29,clear sky
5,Batticaloa,LK,7.71,81.69,77.63,74,0,6.67,clear sky
6,Ushuaia,AR,-54.8,-68.3,42.8,70,75,9.17,broken clouds
7,Guerrero Negro,MX,27.98,-114.06,68.2,76,0,13.73,clear sky
8,Kuryk,KZ,43.2,51.65,53.47,59,11,8.55,few clouds
9,Bend,US,44.06,-121.32,60.8,44,40,12.75,scattered clouds
10,Tura,IN,25.52,90.22,70.18,99,100,4.27,overcast clouds
11,Vaini,TO,-21.2,-175.2,77.0,78,75,9.17,broken clouds
12,Airai,TL,-8.93,125.41,75.85,65,7,1.83,clear sky
13,Khatanga,RU,71.97,102.5,13.87,97,100,11.01,light snow
14,Busselton,AU,-33.65,115.33,68.0,34,0,10.31,clear sky
15,Punta Arenas,CL,-53.15,-70.92,44.6,75,75,5.82,broken clouds
16,Nanakuli,US,21.39,-158.15,82.4,74,1,9.17,clear sky
17,Hermanus,ZA,-34.42,19.23,64.0,91,89,4.03,overcast clouds
18,Niigata,JP,37.9,139.02,53.6,87,75,10.29,light intensity shower rain
19,Saint-Philippe,RE,-21.36,55.77,71.6,68,40,3.36,scattered clouds
20,North Bend,US,43.41,-124.22,59.0,100,90,6.93,mist
21,Camaqua,BR,-30.85,-51.81,66.22,92,100,2.3,overcast clouds
22,Rikitea,PF,-23.12,-134.97,74.03,81,100,14.99,overcast clouds
23,Ilulissat,GL,69.22,-51.1,21.2,62,95,5.82,overcast clouds
24,Kaitangata,NZ,-46.28,169.85,66.0,61,3,4.9,clear sky
25,Souillac,MU,-20.52,57.52,73.4,73,40,9.17,scattered clouds
26,Hirara,JP,24.8,125.28,75.2,60,75,12.75,broken clouds
27,Atuona,PF,-9.8,-139.03,78.62,71,0,17.83,clear sky
28,Cockburn Town,TC,21.46,-71.14,83.05,79,100,16.13,overcast clouds
29,Bintulu,MY,3.17,113.03,77.0,94,20,2.24,few clouds
30,Cape Town,ZA,-33.93,18.42,62.01,93,90,6.93,mist
31,Tautira,PF,-17.73,-149.15,84.2,70,75,10.29,broken clouds
32,Ponta Do Sol,PT,32.67,-17.1,66.2,63,40,5.82,scattered clouds
33,Mataura,NZ,-46.19,168.86,72.0,49,99,14.0,overcast clouds
34,Najran,SA,17.49,44.13,62.6,27,0,1.79,clear sky
35,Torit,SS,4.41,32.57,70.66,89,85,2.04,overcast clouds
36,Makakilo City,US,21.35,-158.09,82.4,74,1,9.17,light rain
37,Matay,EG,28.42,30.78,66.24,74,0,7.31,clear sky
