City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Souillac,MU,2020-10-23 16:50:14,-20.52,57.52,75.2,69,40,11.41
1,Ushuaia,AR,2020-10-23 16:50:14,-54.8,-68.3,48.2,53,20,18.34
2,Busselton,AU,2020-10-23 16:50:14,-33.65,115.33,55.99,40,0,13.4
3,Bredasdorp,ZA,2020-10-23 16:50:15,-34.53,20.04,72.0,79,41,4.0
4,Norman Wells,CA,2020-10-23 16:48:35,65.28,-126.83,21.2,92,90,4.7
5,Zhangjiakou,CN,2020-10-23 16:50:15,40.81,114.88,40.14,58,0,2.24
6,New Norfolk,AU,2020-10-23 16:50:15,-42.78,147.06,54.0,79,100,1.01
7,Castro,BR,2020-10-23 16:50:15,-24.79,-50.01,76.82,56,49,5.86
8,Vao,NC,2020-10-23 16:50:16,-22.67,167.48,73.54,86,6,17.16
9,Cape Town,ZA,2020-10-23 16:48:35,-33.93,18.42,66.99,88,75,11.41
10,Upernavik,GL,2020-10-23 16:50:16,72.79,-56.15,21.42,96,100,8.48
11,Hobart,AU,2020-10-23 16:50:16,-42.88,147.33,54.0,81,90,2.53
12,Rikitea,PF,2020-10-23 16:50:16,-23.12,-134.97,73.81,79,39,4.61
13,Mataura,NZ,2020-10-23 16:50:16,-46.19,168.86,45.36,91,86,3.33
14,Chuy,UY,2020-10-23 16:50:16,-33.7,-53.46,70.32,82,99,2.84
15,Tarata,BO,2020-10-23 16:50:17,-17.62,-66.02,78.8,21,20,4.7
16,Taoudenni,ML,2020-10-23 16:50:17,22.68,-3.98,100.54,8,0,3.69
17,Isangel,VU,2020-10-23 16:50:17,-19.55,169.27,74.97,83,96,11.05
18,Cherskiy,RU,2020-10-23 16:50:17,68.75,161.3,17.83,94,81,5.03
19,Daru,PG,2020-10-23 16:48:36,-9.08,143.21,79.18,81,50,10.38
20,Ostrovnoy,RU,2020-10-23 16:50:17,68.05,39.51,30.2,98,100,10.4
21,Khatanga,RU,2020-10-23 16:50:17,71.97,102.5,6.91,95,100,6.04
22,Ilulissat,GL,2020-10-23 16:50:18,69.22,-51.1,21.2,67,75,5.82
23,Vanavara,RU,2020-10-23 16:50:18,60.34,102.28,27.3,97,80,5.97
24,Asau,RO,2020-10-23 16:50:18,46.43,26.4,55.99,70,48,5.57
25,Lipin Bor,RU,2020-10-23 16:50:18,60.26,37.98,46.67,93,100,13.85
26,Usinsk,RU,2020-10-23 16:50:18,65.99,57.53,20.14,96,15,9.84
27,Portobelo,PA,2020-10-23 16:50:19,9.55,-79.65,88.0,79,40,8.05
28,Ribeira Grande,PT,2020-10-23 16:50:19,38.52,-28.7,69.8,68,40,14.99
29,Rorvik,NO,2020-10-23 16:50:19,64.86,11.24,32.0,61,40,1.12
30,Sangar,RU,2020-10-23 16:50:19,63.92,127.47,19.6,94,100,20.09
31,Saposoa,PE,2020-10-23 16:50:19,-6.93,-76.77,86.0,62,75,6.93
32,Camacha,PT,2020-10-23 16:50:19,33.08,-16.33,69.8,56,20,10.29
33,Opunake,NZ,2020-10-23 16:50:19,-39.46,173.86,54.0,94,21,8.86
34,Beringovskiy,RU,2020-10-23 16:50:20,63.05,179.32,34.09,90,53,21.14
35,Marienburg,PL,2020-10-23 16:50:20,54.04,19.03,54.0,100,82,5.97
36,Bosobolo,CD,2020-10-23 16:50:20,4.18,19.9,74.66,90,99,1.5
37,Nikolskoye,RU,2020-10-23 16:50:20,59.7,30.79,50.0,87,75,11.18
38,Hermanus,ZA,2020-10-23 16:50:20,-34.42,19.23,72.0,79,15,4.0
